NAME
RectangularCup
VALUE RANGES
Blank Thickness
0.8 0.9 1.1 1.2 1.0
Scale X
0.85 0.9 1.0 0.95
Scale Y
0.85 0.9 1.0 0.95
Friction
0.0 0.12 0.09 0.06 0.03
Pressure
1.0 2.0 3.0 4.0
Die Radius
3.0 4.0 5.0
HEADER
Jobname,Status,Blank Thickness,Scale X,Scale Y,Friction,Pressure,Die Radius
START
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.09_Pr_3.0_DiRa_4.0,pending,1.1,0.95,0.9,0.09,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.09_Pr_3.0_DiRa_5.0,pending,1.1,0.95,0.9,0.09,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.09_Pr_4.0_DiRa_3.0,pending,1.1,0.95,0.9,0.09,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.09_Pr_4.0_DiRa_4.0,pending,1.1,0.95,0.9,0.09,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.09_Pr_4.0_DiRa_5.0,pending,1.1,0.95,0.9,0.09,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_1.0_DiRa_3.0,pending,1.1,0.95,0.9,0.06,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_1.0_DiRa_4.0,pending,1.1,0.95,0.9,0.06,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_1.0_DiRa_5.0,pending,1.1,0.95,0.9,0.06,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_2.0_DiRa_3.0,pending,1.1,0.95,0.9,0.06,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_2.0_DiRa_4.0,pending,1.1,0.95,0.9,0.06,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_2.0_DiRa_5.0,pending,1.1,0.95,0.9,0.06,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_3.0_DiRa_3.0,pending,1.1,0.95,0.9,0.06,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_3.0_DiRa_4.0,pending,1.1,0.95,0.9,0.06,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_3.0_DiRa_5.0,pending,1.1,0.95,0.9,0.06,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_4.0_DiRa_3.0,pending,1.1,0.95,0.9,0.06,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_4.0_DiRa_4.0,pending,1.1,0.95,0.9,0.06,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.06_Pr_4.0_DiRa_5.0,pending,1.1,0.95,0.9,0.06,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_1.0_DiRa_3.0,pending,1.1,0.95,0.9,0.03,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_1.0_DiRa_4.0,pending,1.1,0.95,0.9,0.03,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_1.0_DiRa_5.0,pending,1.1,0.95,0.9,0.03,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_2.0_DiRa_3.0,pending,1.1,0.95,0.9,0.03,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_2.0_DiRa_4.0,pending,1.1,0.95,0.9,0.03,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_2.0_DiRa_5.0,pending,1.1,0.95,0.9,0.03,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_3.0_DiRa_3.0,pending,1.1,0.95,0.9,0.03,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_3.0_DiRa_4.0,pending,1.1,0.95,0.9,0.03,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_3.0_DiRa_5.0,pending,1.1,0.95,0.9,0.03,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_4.0_DiRa_3.0,pending,1.1,0.95,0.9,0.03,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_4.0_DiRa_4.0,pending,1.1,0.95,0.9,0.03,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.9_Fr_0.03_Pr_4.0_DiRa_5.0,pending,1.1,0.95,0.9,0.03,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_1.0_DiRa_3.0,pending,1.1,0.95,1.0,0.0,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_1.0_DiRa_4.0,pending,1.1,0.95,1.0,0.0,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_1.0_DiRa_5.0,pending,1.1,0.95,1.0,0.0,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_2.0_DiRa_3.0,pending,1.1,0.95,1.0,0.0,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_2.0_DiRa_4.0,pending,1.1,0.95,1.0,0.0,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_2.0_DiRa_5.0,pending,1.1,0.95,1.0,0.0,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_3.0_DiRa_3.0,pending,1.1,0.95,1.0,0.0,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_3.0_DiRa_4.0,pending,1.1,0.95,1.0,0.0,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_3.0_DiRa_5.0,pending,1.1,0.95,1.0,0.0,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_4.0_DiRa_3.0,pending,1.1,0.95,1.0,0.0,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_4.0_DiRa_4.0,pending,1.1,0.95,1.0,0.0,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.0_Pr_4.0_DiRa_5.0,pending,1.1,0.95,1.0,0.0,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_1.0_DiRa_3.0,pending,1.1,0.95,1.0,0.12,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_1.0_DiRa_4.0,pending,1.1,0.95,1.0,0.12,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_1.0_DiRa_5.0,pending,1.1,0.95,1.0,0.12,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_2.0_DiRa_3.0,pending,1.1,0.95,1.0,0.12,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_2.0_DiRa_4.0,pending,1.1,0.95,1.0,0.12,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_2.0_DiRa_5.0,pending,1.1,0.95,1.0,0.12,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_3.0_DiRa_3.0,pending,1.1,0.95,1.0,0.12,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_3.0_DiRa_4.0,pending,1.1,0.95,1.0,0.12,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_3.0_DiRa_5.0,pending,1.1,0.95,1.0,0.12,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_4.0_DiRa_3.0,pending,1.1,0.95,1.0,0.12,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_4.0_DiRa_4.0,pending,1.1,0.95,1.0,0.12,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.12_Pr_4.0_DiRa_5.0,pending,1.1,0.95,1.0,0.12,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_1.0_DiRa_3.0,pending,1.1,0.95,1.0,0.09,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_1.0_DiRa_4.0,pending,1.1,0.95,1.0,0.09,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_1.0_DiRa_5.0,pending,1.1,0.95,1.0,0.09,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_2.0_DiRa_3.0,pending,1.1,0.95,1.0,0.09,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_2.0_DiRa_4.0,pending,1.1,0.95,1.0,0.09,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_2.0_DiRa_5.0,pending,1.1,0.95,1.0,0.09,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_3.0_DiRa_3.0,pending,1.1,0.95,1.0,0.09,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_3.0_DiRa_4.0,pending,1.1,0.95,1.0,0.09,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_3.0_DiRa_5.0,pending,1.1,0.95,1.0,0.09,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_4.0_DiRa_3.0,pending,1.1,0.95,1.0,0.09,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_4.0_DiRa_4.0,pending,1.1,0.95,1.0,0.09,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.09_Pr_4.0_DiRa_5.0,pending,1.1,0.95,1.0,0.09,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_1.0_DiRa_3.0,pending,1.1,0.95,1.0,0.06,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_1.0_DiRa_4.0,pending,1.1,0.95,1.0,0.06,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_1.0_DiRa_5.0,pending,1.1,0.95,1.0,0.06,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_2.0_DiRa_3.0,pending,1.1,0.95,1.0,0.06,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_2.0_DiRa_4.0,pending,1.1,0.95,1.0,0.06,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_2.0_DiRa_5.0,pending,1.1,0.95,1.0,0.06,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_3.0_DiRa_3.0,pending,1.1,0.95,1.0,0.06,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_3.0_DiRa_4.0,pending,1.1,0.95,1.0,0.06,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_3.0_DiRa_5.0,pending,1.1,0.95,1.0,0.06,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_4.0_DiRa_3.0,pending,1.1,0.95,1.0,0.06,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_4.0_DiRa_4.0,pending,1.1,0.95,1.0,0.06,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.06_Pr_4.0_DiRa_5.0,pending,1.1,0.95,1.0,0.06,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_1.0_DiRa_3.0,pending,1.1,0.95,1.0,0.03,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_1.0_DiRa_4.0,pending,1.1,0.95,1.0,0.03,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_1.0_DiRa_5.0,pending,1.1,0.95,1.0,0.03,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_2.0_DiRa_3.0,pending,1.1,0.95,1.0,0.03,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_2.0_DiRa_4.0,pending,1.1,0.95,1.0,0.03,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_2.0_DiRa_5.0,pending,1.1,0.95,1.0,0.03,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_3.0_DiRa_3.0,pending,1.1,0.95,1.0,0.03,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_3.0_DiRa_4.0,pending,1.1,0.95,1.0,0.03,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_3.0_DiRa_5.0,pending,1.1,0.95,1.0,0.03,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_4.0_DiRa_3.0,pending,1.1,0.95,1.0,0.03,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_4.0_DiRa_4.0,pending,1.1,0.95,1.0,0.03,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_1.0_Fr_0.03_Pr_4.0_DiRa_5.0,pending,1.1,0.95,1.0,0.03,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_1.0_DiRa_3.0,pending,1.1,0.95,0.95,0.0,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_1.0_DiRa_4.0,pending,1.1,0.95,0.95,0.0,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_1.0_DiRa_5.0,pending,1.1,0.95,0.95,0.0,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_2.0_DiRa_3.0,pending,1.1,0.95,0.95,0.0,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_2.0_DiRa_4.0,pending,1.1,0.95,0.95,0.0,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_2.0_DiRa_5.0,pending,1.1,0.95,0.95,0.0,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_3.0_DiRa_3.0,pending,1.1,0.95,0.95,0.0,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_3.0_DiRa_4.0,pending,1.1,0.95,0.95,0.0,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_3.0_DiRa_5.0,pending,1.1,0.95,0.95,0.0,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_4.0_DiRa_3.0,pending,1.1,0.95,0.95,0.0,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_4.0_DiRa_4.0,pending,1.1,0.95,0.95,0.0,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.0_Pr_4.0_DiRa_5.0,pending,1.1,0.95,0.95,0.0,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_1.0_DiRa_3.0,pending,1.1,0.95,0.95,0.12,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_1.0_DiRa_4.0,pending,1.1,0.95,0.95,0.12,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_1.0_DiRa_5.0,pending,1.1,0.95,0.95,0.12,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_2.0_DiRa_3.0,pending,1.1,0.95,0.95,0.12,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_2.0_DiRa_4.0,pending,1.1,0.95,0.95,0.12,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_2.0_DiRa_5.0,pending,1.1,0.95,0.95,0.12,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_3.0_DiRa_3.0,pending,1.1,0.95,0.95,0.12,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_3.0_DiRa_4.0,pending,1.1,0.95,0.95,0.12,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_3.0_DiRa_5.0,pending,1.1,0.95,0.95,0.12,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_4.0_DiRa_3.0,pending,1.1,0.95,0.95,0.12,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_4.0_DiRa_4.0,pending,1.1,0.95,0.95,0.12,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.12_Pr_4.0_DiRa_5.0,pending,1.1,0.95,0.95,0.12,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_1.0_DiRa_3.0,pending,1.1,0.95,0.95,0.09,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_1.0_DiRa_4.0,pending,1.1,0.95,0.95,0.09,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_1.0_DiRa_5.0,pending,1.1,0.95,0.95,0.09,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_2.0_DiRa_3.0,pending,1.1,0.95,0.95,0.09,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_2.0_DiRa_4.0,pending,1.1,0.95,0.95,0.09,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_2.0_DiRa_5.0,pending,1.1,0.95,0.95,0.09,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_3.0_DiRa_3.0,pending,1.1,0.95,0.95,0.09,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_3.0_DiRa_4.0,pending,1.1,0.95,0.95,0.09,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_3.0_DiRa_5.0,pending,1.1,0.95,0.95,0.09,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_4.0_DiRa_3.0,pending,1.1,0.95,0.95,0.09,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_4.0_DiRa_4.0,pending,1.1,0.95,0.95,0.09,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.09_Pr_4.0_DiRa_5.0,pending,1.1,0.95,0.95,0.09,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_1.0_DiRa_3.0,pending,1.1,0.95,0.95,0.06,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_1.0_DiRa_4.0,pending,1.1,0.95,0.95,0.06,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_1.0_DiRa_5.0,pending,1.1,0.95,0.95,0.06,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_2.0_DiRa_3.0,pending,1.1,0.95,0.95,0.06,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_2.0_DiRa_4.0,pending,1.1,0.95,0.95,0.06,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_2.0_DiRa_5.0,pending,1.1,0.95,0.95,0.06,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_3.0_DiRa_3.0,pending,1.1,0.95,0.95,0.06,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_3.0_DiRa_4.0,pending,1.1,0.95,0.95,0.06,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_3.0_DiRa_5.0,pending,1.1,0.95,0.95,0.06,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_4.0_DiRa_3.0,pending,1.1,0.95,0.95,0.06,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_4.0_DiRa_4.0,pending,1.1,0.95,0.95,0.06,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.06_Pr_4.0_DiRa_5.0,pending,1.1,0.95,0.95,0.06,4.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_1.0_DiRa_3.0,pending,1.1,0.95,0.95,0.03,1.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_1.0_DiRa_4.0,pending,1.1,0.95,0.95,0.03,1.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_1.0_DiRa_5.0,pending,1.1,0.95,0.95,0.03,1.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_2.0_DiRa_3.0,pending,1.1,0.95,0.95,0.03,2.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_2.0_DiRa_4.0,pending,1.1,0.95,0.95,0.03,2.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_2.0_DiRa_5.0,pending,1.1,0.95,0.95,0.03,2.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_3.0_DiRa_3.0,pending,1.1,0.95,0.95,0.03,3.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_3.0_DiRa_4.0,pending,1.1,0.95,0.95,0.03,3.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_3.0_DiRa_5.0,pending,1.1,0.95,0.95,0.03,3.0,5.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_4.0_DiRa_3.0,pending,1.1,0.95,0.95,0.03,4.0,3.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_4.0_DiRa_4.0,pending,1.1,0.95,0.95,0.03,4.0,4.0
RectangularCup_BlTh_1.1_ScX_0.95_ScY_0.95_Fr_0.03_Pr_4.0_DiRa_5.0,pending,1.1,0.95,0.95,0.03,4.0,5.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_1.0_DiRa_3.0,pending,1.2,0.85,0.85,0.0,1.0,3.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_1.0_DiRa_4.0,pending,1.2,0.85,0.85,0.0,1.0,4.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_1.0_DiRa_5.0,pending,1.2,0.85,0.85,0.0,1.0,5.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_2.0_DiRa_3.0,pending,1.2,0.85,0.85,0.0,2.0,3.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_2.0_DiRa_4.0,pending,1.2,0.85,0.85,0.0,2.0,4.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_2.0_DiRa_5.0,pending,1.2,0.85,0.85,0.0,2.0,5.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_3.0_DiRa_3.0,pending,1.2,0.85,0.85,0.0,3.0,3.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_3.0_DiRa_4.0,pending,1.2,0.85,0.85,0.0,3.0,4.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_3.0_DiRa_5.0,pending,1.2,0.85,0.85,0.0,3.0,5.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_4.0_DiRa_3.0,pending,1.2,0.85,0.85,0.0,4.0,3.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_4.0_DiRa_4.0,pending,1.2,0.85,0.85,0.0,4.0,4.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.0_Pr_4.0_DiRa_5.0,pending,1.2,0.85,0.85,0.0,4.0,5.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.12_Pr_1.0_DiRa_3.0,pending,1.2,0.85,0.85,0.12,1.0,3.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.12_Pr_1.0_DiRa_4.0,pending,1.2,0.85,0.85,0.12,1.0,4.0
RectangularCup_BlTh_1.2_ScX_0.85_ScY_0.85_Fr_0.12_Pr_1.0_DiRa_5.0,pending,1.2,0.85,0.85,0.12,1.0,5.0
